ID,Company,Title,Location,Salary,Status,URL
"517","Monday","Sales Development Representative","San Diego, CA","$75517 - $95517","external","https://careers.monday.com/jobs/517"
"518","Notion","Client Relationship Manager","Remote, US","$75518 - $95518","external","https://careers.notion.com/jobs/518"
"519","Airtable","Customer Success Associate","Atlanta, GA","$75519 - $95519","external","https://careers.airtable.com/jobs/519"
"520","Figma","Enterprise Customer Success Manager","Austin, TX","$75520 - $95520","submitted","https://careers.figma.com/jobs/520"
"521","Miro","Senior Account Manager","Boston, MA","$75521 - $95521","external","https://careers.miro.com/jobs/521"
"522","Canva","Strategic Account Manager","Chicago, IL","$75522 - $95522","external","https://careers.canva.com/jobs/522"
"523","Adobe","Key Account Manager","Denver, CO","$75523 - $95523","external","https://careers.adobe.com/jobs/523"
"524","Microsoft","National Account Manager","Los Angeles, CA","$75524 - $95524","external","https://careers.microsoft.com/jobs/524"
"525","Google","Customer Success Manager","New York, NY","$75525 - $95525","submitted","https://careers.google.com/jobs/525"
"526","Amazon","Account Manager","San Francisco, CA","$75526 - $95526","external","https://careers.amazon.com/jobs/526"
"527","Meta","Client Success Manager","Seattle, WA","$75527 - $95527","external","https://careers.meta.com/jobs/527"
"528","Apple","Customer Success Specialist","Miami, FL","$75528 - $95528","external","https://careers.apple.com/jobs/528"
"529","Netflix","Account Executive","Phoenix, AZ","$75529 - $95529","external","https://careers.netflix.com/jobs/529"
"530","Spotify","Sales Representative","Portland, OR","$75530 - $95530","submitted","https://careers.spotify.com/jobs/530"
"531","Uber","Business Development Representative","San Diego, CA","$75531 - $95531","external","https://careers.uber.com/jobs/531"
"532","Lyft","Sales Development Representative","Remote, US","$75532 - $95532","external","https://careers.lyft.com/jobs/532"
"533","Airbnb","Client Relationship Manager","Atlanta, GA","$75533 - $95533","external","https://careers.airbnb.com/jobs/533"
"534","Stripe","Customer Success Associate","Austin, TX","$75534 - $95534","external","https://careers.stripe.com/jobs/534"
"535","Square","Enterprise Customer Success Manager","Boston, MA","$75535 - $95535","submitted","https://careers.square.com/jobs/535"
"536","PayPal","Senior Account Manager","Chicago, IL","$75536 - $95536","external","https://careers.paypal.com/jobs/536"
"537","Shopify","Strategic Account Manager","Denver, CO","$75537 - $95537","external","https://careers.shopify.com/jobs/537"
"538","BigCommerce","Key Account Manager","Los Angeles, CA","$75538 - $95538","external","https://careers.bigcommerce.com/jobs/538"
"539","WooCommerce","National Account Manager","New York, NY","$75539 - $95539","external","https://careers.woocommerce.com/jobs/539"
"540","Salesforce","Customer Success Manager","San Francisco, CA","$75540 - $95540","submitted","https://careers.salesforce.com/jobs/540"
"541","HubSpot","Account Manager","Seattle, WA","$75541 - $95541","external","https://careers.hubspot.com/jobs/541"
"542","Zoom","Client Success Manager","Miami, FL","$75542 - $95542","external","https://careers.zoom.com/jobs/542"
"543","Slack","Customer Success Specialist","Phoenix, AZ","$75543 - $95543","external","https://careers.slack.com/jobs/543"
"544","Atlassian","Account Executive","Portland, OR","$75544 - $95544","external","https://careers.atlassian.com/jobs/544"
"545","Zendesk","Sales Representative","San Diego, CA","$75545 - $95545","submitted","https://careers.zendesk.com/jobs/545"
"546","ServiceNow","Business Development Representative","Remote, US","$75546 - $95546","external","https://careers.servicenow.com/jobs/546"
"547","Workday","Sales Development Representative","Atlanta, GA","$75547 - $95547","external","https://careers.workday.com/jobs/547"
"548","Snowflake","Client Relationship Manager","Austin, TX","$75548 - $95548","external","https://careers.snowflake.com/jobs/548"
"549","Datadog","Customer Success Associate","Boston, MA","$75549 - $95549","external","https://careers.datadog.com/jobs/549"
"550","MongoDB","Enterprise Customer Success Manager","Chicago, IL","$75550 - $95550","submitted","https://careers.mongodb.com/jobs/550"
"551","Elastic","Senior Account Manager","Denver, CO","$75551 - $95551","external","https://careers.elastic.com/jobs/551"
"552","Twilio","Strategic Account Manager","Los Angeles, CA","$75552 - $95552","external","https://careers.twilio.com/jobs/552"
"553","SendGrid","Key Account Manager","New York, NY","$75553 - $95553","external","https://careers.sendgrid.com/jobs/553"
"554","Mailchimp","National Account Manager","San Francisco, CA","$75554 - $95554","external","https://careers.mailchimp.com/jobs/554"
"555","DocuSign","Customer Success Manager","Seattle, WA","$75555 - $95555","submitted","https://careers.docusign.com/jobs/555"
"556","Dropbox","Account Manager","Miami, FL","$75556 - $95556","external","https://careers.dropbox.com/jobs/556"
"557","Box","Client Success Manager","Phoenix, AZ","$75557 - $95557","external","https://careers.box.com/jobs/557"
"558","Okta","Customer Success Specialist","Portland, OR","$75558 - $95558","external","https://careers.okta.com/jobs/558"
"559","Auth0","Account Executive","San Diego, CA","$75559 - $95559","external","https://careers.auth0.com/jobs/559"
"560","Cloudflare","Sales Representative","Remote, US","$75560 - $95560","submitted","https://careers.cloudflare.com/jobs/560"
"561","Fastly","Business Development Representative","Atlanta, GA","$75561 - $95561","external","https://careers.fastly.com/jobs/561"
"562","Datadog","Sales Development Representative","Austin, TX","$75562 - $95562","external","https://careers.datadog.com/jobs/562"
"563","New Relic","Client Relationship Manager","Boston, MA","$75563 - $95563","external","https://careers.newrelic.com/jobs/563"
"564","GitLab","Customer Success Associate","Chicago, IL","$75564 - $95564","external","https://careers.gitlab.com/jobs/564"
"565","GitHub","Enterprise Customer Success Manager","Denver, CO","$75565 - $95565","submitted","https://careers.github.com/jobs/565"
"566","Bitbucket","Senior Account Manager","Los Angeles, CA","$75566 - $95566","external","https://careers.bitbucket.com/jobs/566"
"567","Jira","Strategic Account Manager","New York, NY","$75567 - $95567","external","https://careers.jira.com/jobs/567"
"568","Confluence","Key Account Manager","San Francisco, CA","$75568 - $95568","external","https://careers.confluence.com/jobs/568"
"569","Trello","National Account Manager","Seattle, WA","$75569 - $95569","external","https://careers.trello.com/jobs/569"
"570","Asana","Customer Success Manager","Miami, FL","$75570 - $95570","submitted","https://careers.asana.com/jobs/570"
"571","Monday","Account Manager","Phoenix, AZ","$75571 - $95571","external","https://careers.monday.com/jobs/571"
"572","Notion","Client Success Manager","Portland, OR","$75572 - $95572","external","https://careers.notion.com/jobs/572"
"573","Airtable","Customer Success Specialist","San Diego, CA","$75573 - $95573","external","https://careers.airtable.com/jobs/573"
"574","Figma","Account Executive","Remote, US","$75574 - $95574","external","https://careers.figma.com/jobs/574"
"575","Miro","Sales Representative","Atlanta, GA","$75575 - $95575","submitted","https://careers.miro.com/jobs/575"
"576","Canva","Business Development Representative","Austin, TX","$75576 - $95576","external","https://careers.canva.com/jobs/576"
"577","Adobe","Sales Development Representative","Boston, MA","$75577 - $95577","external","https://careers.adobe.com/jobs/577"
"578","Microsoft","Client Relationship Manager","Chicago, IL","$75578 - $95578","external","https://careers.microsoft.com/jobs/578"
"579","Google","Customer Success Associate","Denver, CO","$75579 - $95579","external","https://careers.google.com/jobs/579"
"580","Amazon","Enterprise Customer Success Manager","Los Angeles, CA","$75580 - $95580","submitted","https://careers.amazon.com/jobs/580"
"581","Meta","Senior Account Manager","New York, NY","$75581 - $95581","external","https://careers.meta.com/jobs/581"
"582","Apple","Strategic Account Manager","San Francisco, CA","$75582 - $95582","external","https://careers.apple.com/jobs/582"
"583","Netflix","Key Account Manager","Seattle, WA","$75583 - $95583","external","https://careers.netflix.com/jobs/583"
"584","Spotify","National Account Manager","Miami, FL","$75584 - $95584","external","https://careers.spotify.com/jobs/584"
"585","Uber","Customer Success Manager","Phoenix, AZ","$75585 - $95585","submitted","https://careers.uber.com/jobs/585"
"586","Lyft","Account Manager","Portland, OR","$75586 - $95586","external","https://careers.lyft.com/jobs/586"
"587","Airbnb","Client Success Manager","San Diego, CA","$75587 - $95587","external","https://careers.airbnb.com/jobs/587"
"588","Stripe","Customer Success Specialist","Remote, US","$75588 - $95588","external","https://careers.stripe.com/jobs/588"
"589","Square","Account Executive","Atlanta, GA","$75589 - $95589","external","https://careers.square.com/jobs/589"
"590","PayPal","Sales Representative","Austin, TX","$75590 - $95590","submitted","https://careers.paypal.com/jobs/590"
"591","Shopify","Business Development Representative","Boston, MA","$75591 - $95591","external","https://careers.shopify.com/jobs/591"
"592","BigCommerce","Sales Development Representative","Chicago, IL","$75592 - $95592","external","https://careers.bigcommerce.com/jobs/592"
"593","WooCommerce","Client Relationship Manager","Denver, CO","$75593 - $95593","external","https://careers.woocommerce.com/jobs/593"
"594","Salesforce","Customer Success Associate","Los Angeles, CA","$75594 - $95594","external","https://careers.salesforce.com/jobs/594"
"595","HubSpot","Enterprise Customer Success Manager","New York, NY","$75595 - $95595","submitted","https://careers.hubspot.com/jobs/595"
"596","Zoom","Senior Account Manager","San Francisco, CA","$75596 - $95596","external","https://careers.zoom.com/jobs/596"
"597","Slack","Strategic Account Manager","Seattle, WA","$75597 - $95597","external","https://careers.slack.com/jobs/597"
"598","Atlassian","Key Account Manager","Miami, FL","$75598 - $95598","external","https://careers.atlassian.com/jobs/598"
"599","Zendesk","National Account Manager","Phoenix, AZ","$75599 - $95599","external","https://careers.zendesk.com/jobs/599"
"600","ServiceNow","Customer Success Manager","Portland, OR","$75600 - $95600","submitted","https://careers.servicenow.com/jobs/600"
"601","Workday","Account Manager","San Diego, CA","$75601 - $95601","external","https://careers.workday.com/jobs/601"
"602","Snowflake","Client Success Manager","Remote, US","$75602 - $95602","external","https://careers.snowflake.com/jobs/602"
"603","Datadog","Customer Success Specialist","Atlanta, GA","$75603 - $95603","external","https://careers.datadog.com/jobs/603"
"604","MongoDB","Account Executive","Austin, TX","$75604 - $95604","external","https://careers.mongodb.com/jobs/604"
"605","Elastic","Sales Representative","Boston, MA","$75605 - $95605","submitted","https://careers.elastic.com/jobs/605"
"606","Twilio","Business Development Representative","Chicago, IL","$75606 - $95606","external","https://careers.twilio.com/jobs/606"
"607","SendGrid","Sales Development Representative","Denver, CO","$75607 - $95607","external","https://careers.sendgrid.com/jobs/607"
"608","Mailchimp","Client Relationship Manager","Los Angeles, CA","$75608 - $95608","external","https://careers.mailchimp.com/jobs/608"
"609","DocuSign","Customer Success Associate","New York, NY","$75609 - $95609","external","https://careers.docusign.com/jobs/609"
"610","Dropbox","Enterprise Customer Success Manager","San Francisco, CA","$75610 - $95610","submitted","https://careers.dropbox.com/jobs/610"
"611","Box","Senior Account Manager","Seattle, WA","$75611 - $95611","external","https://careers.box.com/jobs/611"
"612","Okta","Strategic Account Manager","Miami, FL","$75612 - $95612","external","https://careers.okta.com/jobs/612"
"613","Auth0","Key Account Manager","Phoenix, AZ","$75613 - $95613","external","https://careers.auth0.com/jobs/613"
"614","Cloudflare","National Account Manager","Portland, OR","$75614 - $95614","external","https://careers.cloudflare.com/jobs/614"
"615","Fastly","Customer Success Manager","San Diego, CA","$75615 - $95615","submitted","https://careers.fastly.com/jobs/615"
"616","Datadog","Account Manager","Remote, US","$75616 - $95616","external","https://careers.datadog.com/jobs/616"
"617","New Relic","Client Success Manager","Atlanta, GA","$75617 - $95617","external","https://careers.newrelic.com/jobs/617"
"618","GitLab","Customer Success Specialist","Austin, TX","$75618 - $95618","external","https://careers.gitlab.com/jobs/618"
"619","GitHub","Account Executive","Boston, MA","$75619 - $95619","external","https://careers.github.com/jobs/619"
"620","Bitbucket","Sales Representative","Chicago, IL","$75620 - $95620","submitted","https://careers.bitbucket.com/jobs/620"
"621","Jira","Business Development Representative","Denver, CO","$75621 - $95621","external","https://careers.jira.com/jobs/621"
"622","Confluence","Sales Development Representative","Los Angeles, CA","$75622 - $95622","external","https://careers.confluence.com/jobs/622"
"623","Trello","Client Relationship Manager","New York, NY","$75623 - $95623","external","https://careers.trello.com/jobs/623"
"624","Asana","Customer Success Associate","San Francisco, CA","$75624 - $95624","external","https://careers.asana.com/jobs/624"
"625","Monday","Enterprise Customer Success Manager","Seattle, WA","$75625 - $95625","submitted","https://careers.monday.com/jobs/625"
"626","Notion","Senior Account Manager","Miami, FL","$75626 - $95626","external","https://careers.notion.com/jobs/626"
"627","Airtable","Strategic Account Manager","Phoenix, AZ","$75627 - $95627","external","https://careers.airtable.com/jobs/627"
"628","Figma","Key Account Manager","Portland, OR","$75628 - $95628","external","https://careers.figma.com/jobs/628"
"629","Miro","National Account Manager","San Diego, CA","$75629 - $95629","external","https://careers.miro.com/jobs/629"
"630","Canva","Customer Success Manager","Remote, US","$75630 - $95630","submitted","https://careers.canva.com/jobs/630"
"631","Adobe","Account Manager","Atlanta, GA","$75631 - $95631","external","https://careers.adobe.com/jobs/631"
"632","Microsoft","Client Success Manager","Austin, TX","$75632 - $95632","external","https://careers.microsoft.com/jobs/632"
"633","Google","Customer Success Specialist","Boston, MA","$75633 - $95633","external","https://careers.google.com/jobs/633"
"634","Amazon","Account Executive","Chicago, IL","$75634 - $95634","external","https://careers.amazon.com/jobs/634"
"635","Meta","Sales Representative","Denver, CO","$75635 - $95635","submitted","https://careers.meta.com/jobs/635"
"636","Apple","Business Development Representative","Los Angeles, CA","$75636 - $95636","external","https://careers.apple.com/jobs/636"
"637","Netflix","Sales Development Representative","New York, NY","$75637 - $95637","external","https://careers.netflix.com/jobs/637"
"638","Spotify","Client Relationship Manager","San Francisco, CA","$75638 - $95638","external","https://careers.spotify.com/jobs/638"
"639","Uber","Customer Success Associate","Seattle, WA","$75639 - $95639","external","https://careers.uber.com/jobs/639"
"640","Lyft","Enterprise Customer Success Manager","Miami, FL","$75640 - $95640","submitted","https://careers.lyft.com/jobs/640"
"641","Airbnb","Senior Account Manager","Phoenix, AZ","$75641 - $95641","external","https://careers.airbnb.com/jobs/641"
"642","Stripe","Strategic Account Manager","Portland, OR","$75642 - $95642","external","https://careers.stripe.com/jobs/642"
"643","Square","Key Account Manager","San Diego, CA","$75643 - $95643","external","https://careers.square.com/jobs/643"
"644","PayPal","National Account Manager","Remote, US","$75644 - $95644","external","https://careers.paypal.com/jobs/644"
"645","Shopify","Customer Success Manager","Atlanta, GA","$75645 - $95645","submitted","https://careers.shopify.com/jobs/645"
"646","BigCommerce","Account Manager","Austin, TX","$75646 - $95646","external","https://careers.bigcommerce.com/jobs/646"
"647","WooCommerce","Client Success Manager","Boston, MA","$75647 - $95647","external","https://careers.woocommerce.com/jobs/647"
"648","Salesforce","Customer Success Specialist","Chicago, IL","$75648 - $95648","external","https://careers.salesforce.com/jobs/648"
"649","HubSpot","Account Executive","Denver, CO","$75649 - $95649","external","https://careers.hubspot.com/jobs/649"
"650","Zoom","Sales Representative","Los Angeles, CA","$75650 - $95650","submitted","https://careers.zoom.com/jobs/650"
"651","Slack","Business Development Representative","New York, NY","$75651 - $95651","external","https://careers.slack.com/jobs/651"
"652","Atlassian","Sales Development Representative","San Francisco, CA","$75652 - $95652","external","https://careers.atlassian.com/jobs/652"
"653","Zendesk","Client Relationship Manager","Seattle, WA","$75653 - $95653","external","https://careers.zendesk.com/jobs/653"
"654","ServiceNow","Customer Success Associate","Miami, FL","$75654 - $95654","external","https://careers.servicenow.com/jobs/654"
"655","Workday","Enterprise Customer Success Manager","Phoenix, AZ","$75655 - $95655","submitted","https://careers.workday.com/jobs/655"
"656","Snowflake","Senior Account Manager","Portland, OR","$75656 - $95656","external","https://careers.snowflake.com/jobs/656"
"657","Datadog","Strategic Account Manager","San Diego, CA","$75657 - $95657","external","https://careers.datadog.com/jobs/657"
"658","MongoDB","Key Account Manager","Remote, US","$75658 - $95658","external","https://careers.mongodb.com/jobs/658"
"659","Elastic","National Account Manager","Atlanta, GA","$75659 - $95659","external","https://careers.elastic.com/jobs/659"
"660","Twilio","Customer Success Manager","Austin, TX","$75660 - $95660","submitted","https://careers.twilio.com/jobs/660"
"661","SendGrid","Account Manager","Boston, MA","$75661 - $95661","external","https://careers.sendgrid.com/jobs/661"
"662","Mailchimp","Client Success Manager","Chicago, IL","$75662 - $95662","external","https://careers.mailchimp.com/jobs/662"
"663","DocuSign","Customer Success Specialist","Denver, CO","$75663 - $95663","external","https://careers.docusign.com/jobs/663"
"664","Dropbox","Account Executive","Los Angeles, CA","$75664 - $95664","external","https://careers.dropbox.com/jobs/664"
"665","Box","Sales Representative","New York, NY","$75665 - $95665","submitted","https://careers.box.com/jobs/665"
"666","Okta","Business Development Representative","San Francisco, CA","$75666 - $95666","external","https://careers.okta.com/jobs/666"
"667","Auth0","Sales Development Representative","Seattle, WA","$75667 - $95667","external","https://careers.auth0.com/jobs/667"
"668","Cloudflare","Client Relationship Manager","Miami, FL","$75668 - $95668","external","https://careers.cloudflare.com/jobs/668"
"669","Fastly","Customer Success Associate","Phoenix, AZ","$75669 - $95669","external","https://careers.fastly.com/jobs/669"
"670","Datadog","Enterprise Customer Success Manager","Portland, OR","$75670 - $95670","submitted","https://careers.datadog.com/jobs/670"
"671","New Relic","Senior Account Manager","San Diego, CA","$75671 - $95671","external","https://careers.newrelic.com/jobs/671"
"672","GitLab","Strategic Account Manager","Remote, US","$75672 - $95672","external","https://careers.gitlab.com/jobs/672"
"673","GitHub","Key Account Manager","Atlanta, GA","$75673 - $95673","external","https://careers.github.com/jobs/673"
"674","Bitbucket","National Account Manager","Austin, TX","$75674 - $95674","external","https://careers.bitbucket.com/jobs/674"
"675","Jira","Customer Success Manager","Boston, MA","$75675 - $95675","submitted","https://careers.jira.com/jobs/675"
"676","Confluence","Account Manager","Chicago, IL","$75676 - $95676","external","https://careers.confluence.com/jobs/676"
"677","Trello","Client Success Manager","Denver, CO","$75677 - $95677","external","https://careers.trello.com/jobs/677"
"678","Asana","Customer Success Specialist","Los Angeles, CA","$75678 - $95678","external","https://careers.asana.com/jobs/678"
"679","Monday","Account Executive","New York, NY","$75679 - $95679","external","https://careers.monday.com/jobs/679"
"680","Notion","Sales Representative","San Francisco, CA","$75680 - $95680","submitted","https://careers.notion.com/jobs/680"
"681","Airtable","Business Development Representative","Seattle, WA","$75681 - $95681","external","https://careers.airtable.com/jobs/681"
"682","Figma","Sales Development Representative","Miami, FL","$75682 - $95682","external","https://careers.figma.com/jobs/682"
"683","Miro","Client Relationship Manager","Phoenix, AZ","$75683 - $95683","external","https://careers.miro.com/jobs/683"
"684","Canva","Customer Success Associate","Portland, OR","$75684 - $95684","external","https://careers.canva.com/jobs/684"
"685","Adobe","Enterprise Customer Success Manager","San Diego, CA","$75685 - $95685","submitted","https://careers.adobe.com/jobs/685"
"686","Microsoft","Senior Account Manager","Remote, US","$75686 - $95686","external","https://careers.microsoft.com/jobs/686"
"687","Google","Strategic Account Manager","Atlanta, GA","$75687 - $95687","external","https://careers.google.com/jobs/687"
"688","Amazon","Key Account Manager","Austin, TX","$75688 - $95688","external","https://careers.amazon.com/jobs/688"
"689","Meta","National Account Manager","Boston, MA","$75689 - $95689","external","https://careers.meta.com/jobs/689"
"690","Apple","Customer Success Manager","Chicago, IL","$75690 - $95690","submitted","https://careers.apple.com/jobs/690"
"691","Netflix","Account Manager","Denver, CO","$75691 - $95691","external","https://careers.netflix.com/jobs/691"
"692","Spotify","Client Success Manager","Los Angeles, CA","$75692 - $95692","external","https://careers.spotify.com/jobs/692"
"693","Uber","Customer Success Specialist","New York, NY","$75693 - $95693","external","https://careers.uber.com/jobs/693"
"694","Lyft","Account Executive","San Francisco, CA","$75694 - $95694","external","https://careers.lyft.com/jobs/694"
"695","Airbnb","Sales Representative","Seattle, WA","$75695 - $95695","submitted","https://careers.airbnb.com/jobs/695"
"696","Stripe","Business Development Representative","Miami, FL","$75696 - $95696","external","https://careers.stripe.com/jobs/696"
"697","Square","Sales Development Representative","Phoenix, AZ","$75697 - $95697","external","https://careers.square.com/jobs/697"
"698","PayPal","Client Relationship Manager","Portland, OR","$75698 - $95698","external","https://careers.paypal.com/jobs/698"
"699","Shopify","Customer Success Associate","San Diego, CA","$75699 - $95699","external","https://careers.shopify.com/jobs/699"
"700","BigCommerce","Enterprise Customer Success Manager","Remote, US","$75700 - $95700","submitted","https://careers.bigcommerce.com/jobs/700"
"701","WooCommerce","Senior Account Manager","Atlanta, GA","$75701 - $95701","external","https://careers.woocommerce.com/jobs/701"
"702","Salesforce","Strategic Account Manager","Austin, TX","$75702 - $95702","external","https://careers.salesforce.com/jobs/702"
"703","HubSpot","Key Account Manager","Boston, MA","$75703 - $95703","external","https://careers.hubspot.com/jobs/703"
"704","Zoom","National Account Manager","Chicago, IL","$75704 - $95704","external","https://careers.zoom.com/jobs/704"
"705","Slack","Customer Success Manager","Denver, CO","$75705 - $95705","submitted","https://careers.slack.com/jobs/705"
"706","Atlassian","Account Manager","Los Angeles, CA","$75706 - $95706","external","https://careers.atlassian.com/jobs/706"
"707","Zendesk","Client Success Manager","New York, NY","$75707 - $95707","external","https://careers.zendesk.com/jobs/707"
"708","ServiceNow","Customer Success Specialist","San Francisco, CA","$75708 - $95708","external","https://careers.servicenow.com/jobs/708"
"709","Workday","Account Executive","Seattle, WA","$75709 - $95709","external","https://careers.workday.com/jobs/709"
"710","Snowflake","Sales Representative","Miami, FL","$75710 - $95710","submitted","https://careers.snowflake.com/jobs/710"
"711","Datadog","Business Development Representative","Phoenix, AZ","$75711 - $95711","external","https://careers.datadog.com/jobs/711"
"712","MongoDB","Sales Development Representative","Portland, OR","$75712 - $95712","external","https://careers.mongodb.com/jobs/712"
"713","Elastic","Client Relationship Manager","San Diego, CA","$75713 - $95713","external","https://careers.elastic.com/jobs/713"
"714","Twilio","Customer Success Associate","Remote, US","$75714 - $95714","external","https://careers.twilio.com/jobs/714"
"715","SendGrid","Enterprise Customer Success Manager","Atlanta, GA","$75715 - $95715","submitted","https://careers.sendgrid.com/jobs/715"
"716","Mailchimp","Senior Account Manager","Austin, TX","$75716 - $95716","external","https://careers.mailchimp.com/jobs/716"
"717","DocuSign","Strategic Account Manager","Boston, MA","$75717 - $95717","external","https://careers.docusign.com/jobs/717"
"718","Dropbox","Key Account Manager","Chicago, IL","$75718 - $95718","external","https://careers.dropbox.com/jobs/718"
"719","Box","National Account Manager","Denver, CO","$75719 - $95719","external","https://careers.box.com/jobs/719"
"720","Okta","Customer Success Manager","Los Angeles, CA","$75720 - $95720","submitted","https://careers.okta.com/jobs/720"
"721","Auth0","Account Manager","New York, NY","$75721 - $95721","external","https://careers.auth0.com/jobs/721"
"722","Cloudflare","Client Success Manager","San Francisco, CA","$75722 - $95722","external","https://careers.cloudflare.com/jobs/722"
"723","Fastly","Customer Success Specialist","Seattle, WA","$75723 - $95723","external","https://careers.fastly.com/jobs/723"
"724","Datadog","Account Executive","Miami, FL","$75724 - $95724","external","https://careers.datadog.com/jobs/724"
"725","New Relic","Sales Representative","Phoenix, AZ","$75725 - $95725","submitted","https://careers.newrelic.com/jobs/725"
"726","GitLab","Business Development Representative","Portland, OR","$75726 - $95726","external","https://careers.gitlab.com/jobs/726"
"727","GitHub","Sales Development Representative","San Diego, CA","$75727 - $95727","external","https://careers.github.com/jobs/727"
"728","Bitbucket","Client Relationship Manager","Remote, US","$75728 - $95728","external","https://careers.bitbucket.com/jobs/728"
"729","Jira","Customer Success Associate","Atlanta, GA","$75729 - $95729","external","https://careers.jira.com/jobs/729"
"730","Confluence","Enterprise Customer Success Manager","Austin, TX","$75730 - $95730","submitted","https://careers.confluence.com/jobs/730"
"731","Trello","Senior Account Manager","Boston, MA","$75731 - $95731","external","https://careers.trello.com/jobs/731"
"732","Asana","Strategic Account Manager","Chicago, IL","$75732 - $95732","external","https://careers.asana.com/jobs/732"
"733","Monday","Key Account Manager","Denver, CO","$75733 - $95733","external","https://careers.monday.com/jobs/733"
"734","Notion","National Account Manager","Los Angeles, CA","$75734 - $95734","external","https://careers.notion.com/jobs/734"
"735","Airtable","Customer Success Manager","New York, NY","$75735 - $95735","submitted","https://careers.airtable.com/jobs/735"
"736","Figma","Account Manager","San Francisco, CA","$75736 - $95736","external","https://careers.figma.com/jobs/736"
"737","Miro","Client Success Manager","Seattle, WA","$75737 - $95737","external","https://careers.miro.com/jobs/737"
"738","Canva","Customer Success Specialist","Miami, FL","$75738 - $95738","external","https://careers.canva.com/jobs/738"
"739","Adobe","Account Executive","Phoenix, AZ","$75739 - $95739","external","https://careers.adobe.com/jobs/739"
"740","Microsoft","Sales Representative","Portland, OR","$75740 - $95740","submitted","https://careers.microsoft.com/jobs/740"
"741","Google","Business Development Representative","San Diego, CA","$75741 - $95741","external","https://careers.google.com/jobs/741"
"742","Amazon","Sales Development Representative","Remote, US","$75742 - $95742","external","https://careers.amazon.com/jobs/742"
"743","Meta","Client Relationship Manager","Atlanta, GA","$75743 - $95743","external","https://careers.meta.com/jobs/743"
"744","Apple","Customer Success Associate","Austin, TX","$75744 - $95744","external","https://careers.apple.com/jobs/744"
"745","Netflix","Enterprise Customer Success Manager","Boston, MA","$75745 - $95745","submitted","https://careers.netflix.com/jobs/745"
"746","Spotify","Senior Account Manager","Chicago, IL","$75746 - $95746","external","https://careers.spotify.com/jobs/746"
"747","Uber","Strategic Account Manager","Denver, CO","$75747 - $95747","external","https://careers.uber.com/jobs/747"
"748","Lyft","Key Account Manager","Los Angeles, CA","$75748 - $95748","external","https://careers.lyft.com/jobs/748"
"749","Airbnb","National Account Manager","New York, NY","$75749 - $95749","external","https://careers.airbnb.com/jobs/749"
"750","Stripe","Customer Success Manager","San Francisco, CA","$75750 - $95750","submitted","https://careers.stripe.com/jobs/750"
"751","Square","Account Manager","Seattle, WA","$75751 - $95751","external","https://careers.square.com/jobs/751"
"752","PayPal","Client Success Manager","Miami, FL","$75752 - $95752","external","https://careers.paypal.com/jobs/752"
"753","Shopify","Customer Success Specialist","Phoenix, AZ","$75753 - $95753","external","https://careers.shopify.com/jobs/753"
"754","BigCommerce","Account Executive","Portland, OR","$75754 - $95754","external","https://careers.bigcommerce.com/jobs/754"
"755","WooCommerce","Sales Representative","San Diego, CA","$75755 - $95755","submitted","https://careers.woocommerce.com/jobs/755"
"756","Salesforce","Business Development Representative","Remote, US","$75756 - $95756","external","https://careers.salesforce.com/jobs/756"
"757","HubSpot","Sales Development Representative","Atlanta, GA","$75757 - $95757","external","https://careers.hubspot.com/jobs/757"
"758","Zoom","Client Relationship Manager","Austin, TX","$75758 - $95758","external","https://careers.zoom.com/jobs/758"
"759","Slack","Customer Success Associate","Boston, MA","$75759 - $95759","external","https://careers.slack.com/jobs/759"
"760","Atlassian","Enterprise Customer Success Manager","Chicago, IL","$75760 - $95760","submitted","https://careers.atlassian.com/jobs/760"
"761","Zendesk","Senior Account Manager","Denver, CO","$75761 - $95761","external","https://careers.zendesk.com/jobs/761"
"762","ServiceNow","Strategic Account Manager","Los Angeles, CA","$75762 - $95762","external","https://careers.servicenow.com/jobs/762"
"763","Workday","Key Account Manager","New York, NY","$75763 - $95763","external","https://careers.workday.com/jobs/763"
"764","Snowflake","National Account Manager","San Francisco, CA","$75764 - $95764","external","https://careers.snowflake.com/jobs/764"
"765","Datadog","Customer Success Manager","Seattle, WA","$75765 - $95765","submitted","https://careers.datadog.com/jobs/765"
"766","MongoDB","Account Manager","Miami, FL","$75766 - $95766","external","https://careers.mongodb.com/jobs/766"
"767","Elastic","Client Success Manager","Phoenix, AZ","$75767 - $95767","external","https://careers.elastic.com/jobs/767"
"768","Twilio","Customer Success Specialist","Portland, OR","$75768 - $95768","external","https://careers.twilio.com/jobs/768"
"769","SendGrid","Account Executive","San Diego, CA","$75769 - $95769","external","https://careers.sendgrid.com/jobs/769"
"770","Mailchimp","Sales Representative","Remote, US","$75770 - $95770","submitted","https://careers.mailchimp.com/jobs/770"
"771","DocuSign","Business Development Representative","Atlanta, GA","$75771 - $95771","external","https://careers.docusign.com/jobs/771"
"772","Dropbox","Sales Development Representative","Austin, TX","$75772 - $95772","external","https://careers.dropbox.com/jobs/772"
"773","Box","Client Relationship Manager","Boston, MA","$75773 - $95773","external","https://careers.box.com/jobs/773"
"774","Okta","Customer Success Associate","Chicago, IL","$75774 - $95774","external","https://careers.okta.com/jobs/774"
